,post_id,title,category,score,num_comments,author,collected_at,engagement,is_popular
57,47721946,JSON formatter Chrome plugin now closed and injecting adware,worldnews,287,136,jkl5xx,2026-04-15 00:02:00,0.4722222222222222,True
58,47705413,Show HN: I built a Cargo-like build tool for C/C++,entertainment,176,169,randerson_112,2026-04-15 00:03:00,0.9548022598870056,True
59,47722011,Show HN: A WYSIWYG word processor in Python,entertainment,91,39,chrisecker,2026-04-15 00:03:00,0.42391304347826086,False
60,47702647,"Launch HN: Relvy (YC F24) – On-call runbooks, automated",entertainment,48,25,behat,2026-04-15 00:03:00,0.5102040816326531,False
61,47728323,Relics of the Heroic Age of Manned Space Flight,science,20,1,zdgeier,2026-04-15 00:03:00,0.047619047619047616,False
62,47745300,Show HN: A social feed with no strangers,entertainment,9,5,rpatni,2026-04-15 00:03:00,0.5,False
63,47721255,Show HN: Eve – Managed OpenClaw for work,entertainment,72,40,zachdive,2026-04-15 00:03:00,0.547945205479452,False
64,47730522,Show HN: Waffle – Native macOS terminal that auto-tiles sessions into a grid,entertainment,40,21,olleeolleeollee,2026-04-15 00:03:00,0.5121951219512195,False
65,47699470,The Life and Death of the Book Review,entertainment,30,7,lermontov,2026-04-15 00:03:00,0.22580645161290322,False
66,47758287,Dear Master (an open letter from an early Facebook employee),entertainment,14,2,plonkus,2026-04-15 00:04:00,0.13333333333333333,False
67,47745543,New metal with triple copper's heat conduction challenges fundamental physics,science,31,13,thunderbong,2026-04-15 00:04:00,0.40625,False
68,47715339,Show HN: Keeper – embedded secret store for Go (help me break it),entertainment,63,33,babawere,2026-04-15 00:04:00,0.515625,False
69,47745261,Vegetative Patients May Be More Aware Than We Knew,worldnews,35,13,bookofjoe,2026-04-15 00:04:00,0.3611111111111111,False
70,47745230,Sam Altman's home targeted in second attack,worldnews,153,362,babelfish,2026-04-15 00:04:00,2.3506493506493507,True
71,47692043,Muse Spark: Scaling towards personal superintelligence,worldnews,392,367,chabons,2026-04-15 00:04:00,0.9338422391857506,True
72,47689165,"Show HN: I pipe free sports streams into Jellyfin – no ads, just HLS",sports,120,36,pruz,2026-04-15 00:04:00,0.2975206611570248,False
73,47736071,The Universal Standard Book Number,entertainment,13,4,novalis78,2026-04-15 00:04:00,0.2857142857142857,False
74,47694036,Show HN: Orange Juice – Small UX improvements that make HN easier to read,entertainment,147,158,latchkey,2026-04-15 00:04:00,1.0675675675675675,True
75,47759281,NASA Moon Base User's Guide [pdf],science,6,1,sethbannon,2026-04-15 00:05:00,0.14285714285714285,False
76,47690797,Show HN: Go-Bt: Minimalist Behavior Trees for Go,entertainment,62,12,rvitorper,2026-04-15 00:05:00,0.19047619047619047,False
77,47729994,Polymarket gamblers betting millions on war,worldnews,159,129,sandebert,2026-04-15 00:05:00,0.80625,True
78,47693960,Flashback to a time when government reports were works of art,worldnews,30,12,NaOH,2026-04-15 00:05:00,0.3870967741935484,False
79,47723243,Combining spicy foods with mint boosts anti-inflammatory effects 100x or more,sports,87,50,joeax,2026-04-15 00:05:00,0.5681818181818182,False
80,47704430,Can It Resolve Doom? Game Engine in 2k DNS Records,sports,10,2,choult,2026-04-15 00:05:00,0.18181818181818182,False
81,47722566,DOJ wants to scrap Watergate-era rule that makes presidential records public,worldnews,262,69,tlhunter,2026-04-15 00:06:00,0.2623574144486692,True
82,47718694,"""Negative"" views of Broadcom driving VMware migrations, rival says",worldnews,76,39,breve,2026-04-15 00:06:00,0.5064935064935064,False
83,47717514,"Inflation Rose to 3.3% in March, Driven by Rising Fuel Costs",sports,63,3,JumpCrisscross,2026-04-15 00:06:00,0.046875,False
